query_id,query,passage_id,passage,is_selected
1102432,. what is a corporation?,0,"A company is incorporated in a specific nation, often within the bounds of a smaller subset of that nation, such as a state or province. The corporation is then governed by the laws of incorporation in that state. A corporation may issue stock, either private or public, or may be classified as a non-stock corporation. If stock is issued, the corporation will usually be governed by its shareholders, either directly or indirectly.",0
1102432,. what is a corporation?,1,"Today, there is a growing community of more than 2,100 Certified B Corps from 50 countries and over 130 industries working together toward 1 unifying goal: to redefine success in business. Join the Movement",0
1102432,. what is a corporation?,2,"Corporation definition, an association of individuals, created by law or under authority of law, having a continuous existence independent of the existences of its members, and powers and liabilities distinct from those of its members. See more.",0
1102432,. what is a corporation?,3,Examples of corporation in a Sentence. 1  He works as a consultant for several large corporations. 2  a substantial corporation that showed that he was a sucker for all-you-can-eat buffets.,0
1102432,. what is a corporation?,4,"1: a government-owned corporation (as a utility or railroad) engaged in a profit-making enterprise that may require the exercise of powers unique to government (as eminent domain) — called also government corporation, publicly held corporation",0
1102432,. what is a corporation?,5,McDonald's Corporation is one of the most recognizable corporations in the world. A corporation is a company or group of people authorized to act as a single entity (legally a person) and recognized as such in law. Early incorporated entities were established by charter (i.e. by an ad hoc act granted by a monarch or passed by a parliament or legislature).,1
1102432,. what is a corporation?,6,"Corporations are owned by their stockholders (shareholders) who share in profits and losses generated through the firm's operations, and have three distinct characteristics (1) Legal existence: a firm can (like a person) buy, sell, own, enter into a contract, and sue other persons and firms, and be sued by them.",0
1102432,. what is a corporation?,7,"An Association is an organized group of people who share in a common interest, activity, or purpose. 1  Start a business Plan your business. Create your business structure Types of business structures. 2  Change or update your business Add a new location to your existing business. Add an endorsement to your existing business.",0
1102432,. what is a corporation?,8,B Corp certification shines a light on the companies leading the global movement...,0
1102432,. what is a corporation?,9,LLCs offer greater flexibility when it comes to income taxes. 1  The owner or member of an LLC can have their income taxed in three ways: 2  A single owner LLC is treated as a Schedule C (sole proprietor) for tax purposes.,0
1102431,why did rachel carson write an obligation to endure,0,"Read to write - grow a love of books (even if it's a comic book) Organizing an argument into paragraphs, words [that] worked together for a common purpose Walker: Using models - read other research papers, look at MLA samples Maintain a larger perspective of the world and in your writing - stay objective Write about what fascinates you",0
1102431,why did rachel carson write an obligation to endure,1,Carson subtly defers her writing in just the right writing technique for it to not be subject to an induction run rampant style which grabs the readers interest without biasing the whole article. Rachel slights the opposition very nicely Rachel Carson: “THE OBLIGATION TO ENDURE”. 4 by keeping it simple yet informative and persuasive and stays away from being caught in a fallacy which makes it readable and proves effective in validlating her point of view.,0
1102431,why did rachel carson write an obligation to endure,2,"The essay starts out with the statement “The history of life on earth has been an interaction between living things and their surroundings” (Carson, pg. 57). On the other hand, it closes with “The obligation to endure gives us the right to know” (Carson, pg. 6). These are good statements that give the reader an idea of what can be expected. However, there were times when it seemed as if the author was backing up her opinion with facts that were not necessarily factual.",0
1102431,why did rachel carson write an obligation to endure,3,"Ashley Deemer. Eastern gateway Community College. Abstract. In the following pages the reader will find a written rhetorical analysis of Rachel Carson’s “The Obligation to Endure.” The following analysis involves the second chapter of Carson’s book, Silent Spring and was antecedently written in 1962.",0
1102431,why did rachel carson write an obligation to endure,4,"The Obligation to Endure by Rachel Carson Rachel Carson's essay on The Obligation to Endure, is a very convincing argument about the harmful uses of chemicals, pesticides, herbicides, and fertilizers on the environment.",1
1102431,why did rachel carson write an obligation to endure,5,"Carson believes that as man tries to eliminate unwanted insects and weeds, however he is actually causing more problems by polluting the environment with, for example, DDT and harming living things. Carson adds that the intensification of agriculture is causing other major problems, like newly developed or created insects and diseases.",1
1102431,why did rachel carson write an obligation to endure,6,“The Obligation to Endure” from Silent Springby Rachel Carson. Copyright © 1962 by Rachel L. Carson.,0
1102431,why did rachel carson write an obligation to endure,7,"In, “Silent Spring” an excerpt from Rachel Carson’s, “The Obligation to Endure,” Carson suggests that the pesticides and insecticides we have are harmful to more than just the environment. Rachel Carson is an author who is passionate about the environment and concerned about the well being of its inhabitants.",0
1102431,why did rachel carson write an obligation to endure,8,"1 Limitation of science - As the world changes over time, the understanging of science ... However Aristotle stated that there is not only one future which is determined by a cause. 2  A man travels in the Yukon on an extremely cold morning with a husky ... the reader only ocasionally gets insight into the inner workings of the mans mind.",0
1102431,why did rachel carson write an obligation to endure,9,"Rachel Carson was born on May 27, 1907, on a family farm near Springdale, Pennsylvania, just up the Allegheny River from Pittsburgh. She was the daughter of Maria Frazier (McLean) and Robert Warden Carson, an insurance salesman. She spent a lot of time exploring around her family's 65-acre (26 ha) farm.",0
90836,chart for foods low in potassium.,0,"Low Sodium Low Potassium Foods List. On this page we offer a searchable collection of nutritional data on thousands of foods for healthy diet. Healthy eating is not only beneficial to weight loss, but will obviously improve your health.",0
90836,chart for foods low in potassium.,1,"Alleviation of High Blood Pressure (Hypertension) - Studies show that a diet high in potassium, especially potassium from fruits and vegetables, lowers blood pressure. This is especially true if the increase in potassium foods is not accompanied by an increase in high sodium foods.",0
90836,chart for foods low in potassium.,2,"High potassium foods include beans, dark leafy greens, potatoes, squash, yogurt, fish, avocados, mushrooms, and bananas. The current daily value for potassium is 3,500 milligrams (mg).",0
90836,chart for foods low in potassium.,3,"That is because the kidneys regulate potassium. If they aren’t working correctly, the potassium may not be flushed out of the body properly. To minimize potassium buildup, a person with chronic kidney disease should stick to a low-potassium diet of between 1,500 and 2,000 milligrams (mg) per day. Limiting phosphorus, sodium, and fluids may also be important for people with kidney dysfunction.",0
90836,chart for foods low in potassium.,4,"Watch portions on all foods. Be careful with coffee. The National Kidney Foundation recommends that people who should limit their potassium should limit their coffee in take to 1 cup per day. There are still plenty of nutritious, delicious, low-potassium options for people with kidney disease, Armul says.",0
90836,chart for foods low in potassium.,5,"Food Sources of Potassium. Food Sources of Potassium ranked by milligrams of potassium per standard amount, also showing calories in the standard amount. (The AI for adults is 4,700 mg/day potassium.) Food, Standard Amount Potassium (mg) Calories. Sweetpotato, baked, 1 potato (146 g) 694 131. Tomato paste, 1/4 cup 664 54.",0
90836,chart for foods low in potassium.,6,"It is important for disease prevention such as: diabetes, heart disease, high cholesterol, anemia, high blood pressure, and cancer. All the nutritional data of foods is based on the U.S. Department of Agriculture database for standard reference SR22.",0
90836,chart for foods low in potassium.,7,"Below is a list of high potassium foods ranked by common serving sizes, for more see the lists of high potassium foods by nutrient density, potassium rich foods, fruits high in potassium, and vegetables high in potassium.",0
90836,chart for foods low in potassium.,8,"LOW POTASSIUM DIET. INTRODUCTION. Potassium is a mineral that the body needs for normal cell and muscle function. When blood. levels of potassium are too high, heart contractions can be affected. Dietary intake is the main. source of potassium for the body. This diet limits potassium intake to less than 60 mmol per. day. AIMS.",0
90836,chart for foods low in potassium.,9,High-Fiber means 5 grams or more fiber per serving. A food must have less than 5g of sugar (natural or added) per 100g or 2.5g of sugar per 100mls to be a low sugar food. Sugar-free means less than 0.5g of sugar per 100g or per 100ml.,0
55665,bottom front of a cargo ship,0,"Take advantage of great opportunities that regularly present themselves through Shipned. Besides flat bottom tankers you will find anything from river barges to ferries, tankers, chemical oil tankers, or dry cargo vessels. Be the first to know. Be the first to know when new flat bottom tankers enter our stock. Subscribe yourself to our mailing list so that you are notified of our new arrivals. Shipned has been active as an international ship trader since 1984, offering both river and sea vessels and other maritime projects such as yachts.",0
55665,bottom front of a cargo ship,1,Bilge ----Curved section between the bottom and. the side of a ship; the recess into which all water. drains. Bilge Blocks ----Supporting blocks used under. bilge for support during construction or. drydocking. Bilge blocks supporting a vessel on a drydock.,0
55665,bottom front of a cargo ship,2,Smithsonian divers explore the hull of a massive cargo ship for biological invasions of organisms that hitch a ride on the hull of the vessel. Biofilms are microorganisms that accumulate in layers on the ship's hull.,0
55665,bottom front of a cargo ship,3,Smithsonian divers explore the hull of a massive cargo ship for biological invasions of organisms that hitch a ride on the hull of the vessel. (Photograph by Laurie Penland) Biofilms are microorganisms that accumulate in layers on the ship's hull.,0
55665,bottom front of a cargo ship,4,"Smithsonian photographer Laurie Penland details the exhausting, but rewarding, work of scraping invasive species off the hull of a boat. Bubbles from the divers' breathing aparatus collect on the belly of the ship. I am once again leaving my familiar world behind and descending into the abyss below.",0
55665,bottom front of a cargo ship,5,"As I descend from the water surface at the bow of the ship, a large grated hole opens up in front of me and reveals its enormous propellers. I swim closer to the grate to get a better view inside the tunnel containing the bow thrusters.",0
55665,bottom front of a cargo ship,6,Access Holes---- Holes cut in ship's structure to. permit entering or leaving various. compartments. Accommodation Ladder---- A portable set of. steps on a ship's side for the accommodation of. people boarding from small boats or from a pier.,0
55665,bottom front of a cargo ship,7,"Take advantage of great opportunities that regularly present themselves through Shipned. Besides flat bottom tankers you will find anything from river barges to ferries, tankers, chemical oil tankers, or dry cargo vessels. Be the first to know when new flat bottom tankers enter our stock.",0
55665,bottom front of a cargo ship,8,"As I sink beneath the belly of a massive cargo ship, I glide my hand down the side of the vessel. The painted metal feels like smooth skin, but it is covered in a thin layer of brown biofilm, microbial life that clings to painted surfaces and is generally found covering the bottom of ships.",0
55665,bottom front of a cargo ship,9,Amidships ----At or near the midship section of. the ship. Anchor---- A heavy hook-shaped device for. holding a ship at rest in water. The anchor grips. the ocean bottom and is fastened to the ship by a. chain. Angle Clip---- A short piece of angle bar. Angle Collar ----A ring made of angle bar. Anneal ----To soften metal by heating and. allowing it to cool slowly.,0
205107,honesty or integrity definition,0,"Integrity is about conduct; honesty is about adherence to the facts. The person who without fail submits his timesheet every week, seeking clarification if unsure how to charge some time, is acting with integrity. He is probably also acting with honesty, ensuring that the numbers he reports are correct.",0
205107,honesty or integrity definition,1,"1 He should be ​ praised for his honesty. 2  And the ​ moral of the ​ story is that honesty is always the ​ best ​ policy. 3  I have no ​ reason to ​ doubt her honesty, it's just that I can't ​ understand how it ​ happened.",0
205107,honesty or integrity definition,2,"honesty. n, pl-ties. 1. the condition of being honest. 2. sincerity or fairness. 3. virtue or respect.",1
205107,honesty or integrity definition,3,"1 And the ​ moral of the ​ story is that honesty is always the ​ best ​ policy. 2  I have no ​ reason to ​ doubt her honesty, it's just that I can't ​ understand how it ​ happened. 3  Well, I don't ​ want to ​ offend anyone but, in all honesty, I do have some ​ criticisms to make.",0
205107,honesty or integrity definition,4,"hence, a white lie in some cases, is a result of integrity. integrity is the value and morals of a individual in relation or in addition to honesty. honestly is frankness and as the other guy said, adherence to facts.",1
205107,honesty or integrity definition,5,"The Wikipedia page about integrity is useful here. It defines the word this way: a concept of consistency of actions, values, methods, measures, principles, expectations, and outcomes. In ethics, integrity is regarded as the honesty and truthfulness or accuracy of one's actions.",0
205107,honesty or integrity definition,6,"1 She ​ spoke with ​ brutal honesty-I was too ​ old for the ​ job. 2  He should be ​ praised for his honesty. 3  And the ​ moral of the ​ story is that honesty is always the ​ best ​ policy. 4  I have no ​ reason to ​ doubt her honesty, it's just that I can't ​ understand how it ​ happened.",0
205107,honesty or integrity definition,7,honesty noun [U]. B2 the ​quality of being ​honest: I ​appreciate ​your honesty. I must ​tell you in all honesty (= truthfully and ​hiding nothing) that there is little ​chance of the ​proposal being ​approved. More examples. 1  She ​ spoke with ​ brutal honesty-I was too ​ old for the ​ job. 2  He should be ​ praised for his honesty.,0
205107,honesty or integrity definition,8,"honesty. 1. The quality of being honest: honor, honorableness, incorruptibility, integrity, upstandingness. 2.",0
205107,honesty or integrity definition,9,1 Honesty is a compulsion swinging a heavy sword like loving —Marge Piercy. 2  Honesty is like an icicle; if once it melts that is the end of it —Anon. 3  Incorruptible as a statue —Jean Garrigue. 4  Law-abiding as a cow —G.,0
1060386,what is barometric pressure in lincoln ne now?,0,"When the air pressure rises, it pushes the mercury higher. When the air pressure drops, so does the mercury level.. Atmospheric pressure can also be measured in millibars (mb), with a bar being roughly equivalent to one atmosphere of pressure (one atmosphere equals 1.01325 bars). One bar is equivalent to 29.6 in. Hg.A barometer reading of 30 inches (Hg) is considered normal.",0
1060386,what is barometric pressure in lincoln ne now?,1,"third one is the methane emission we measured at Bluff Road Landfill near Lincoln, Nebraska; the fourth. I will present some of the results, and to show how pressure changing regulates the methane emission; and at the end I will discuss some of the implications from our results.",0
1060386,what is barometric pressure in lincoln ne now?,2,"Liukang Xu, Xiaomao Lin, Jim Amen, Dayle McDermitt LI-COR Biosciences, Lincoln NE 68504 USA. Karla Welding. City of Lincoln, Lincoln NE 68517 USA. Impact of Changes in Barometric . Pressure on Landfill Methane Emission",0
1060386,what is barometric pressure in lincoln ne now?,3,"Omaha, NE current local weather conditions, 5-Day forecast, and live traffic updates. Omaha report includes detailed weather summary.",0
1060386,what is barometric pressure in lincoln ne now?,4,"Thanks, Ashlee, and I am glad to be here to discuss the research results we obtained two years ago; and. the title of my Webinar is: “ Impact of Changing the Barometric Pressure on the Landfill Methane. Emissions”. And, I want to say thank you for my colleagues: Jim Amen, Xiaomao Lin, and, also, Karla. Welding, she is superintendent at the landfill in Lincoln, Nebraska.",0
1060386,what is barometric pressure in lincoln ne now?,5,"Atmospheric pressure. Atmospheric pressure, sometimes also called barometric pressure, is the pressure within the atmosphere of Earth (or that of another planet). In most circumstances atmospheric pressure is closely approximated by the hydrostatic pressure caused by the weight of air above the measurement point.",0
1060386,what is barometric pressure in lincoln ne now?,6,Regional Current Barometric Pressure Maps: Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon,0
1060386,what is barometric pressure in lincoln ne now?,7,"© 2017, Southeast Lincoln Weather | Weather-Display (10.37S-(b56)) | Valid XHTML 1.0 | Valid CSS. This website is neither affiliated with nor endorsed by the National Weather Service or any other government agency. The weather data contained herein is offered without any warranties express or implied, and is meant to only supplement, not replace, official NWS weather forecasts and information.",0
1060386,what is barometric pressure in lincoln ne now?,8,4 emissions on changes in barometric pressure • Increasing pressure suppresses the emission • Decreasing pressure enhances the emission 2. Large day-to-day variation of methane emissions due to changes in barometric pressure. 3. Must have continuous measurements in order to get the total methane emission of landfill. 4.,0
1060386,what is barometric pressure in lincoln ne now?,9,"© 2018, Southeast Lincoln Weather | Weather-Display (10.37S-(b66)) | Valid XHTML 1.0 | Valid CSS This website is neither affiliated with nor endorsed by the National Weather Service or any other government agency.",0
1090356,struthers city school district state number,0,"SAVE SCHOOL. 1  Struthers Elementary School serves 697 students in grades PK-4. 2  Minority enrollment is 20% of the student body (majority Hispanic), which is less than the state average of 28%. 3  Struthers Elementary School operates within the Struthers City School District. School Overview The student population of 697 students has stayed relatively flat over five years.",0
1090356,struthers city school district state number,1,"Struthers High School Seniors - Apply for the New $8,000 Scholarship The Guidance Department at Struthers High School announces a new $8,000 scholarship available to one graduating senior. The Otis R. Heldman Sr. and Jr. Scholar-Athlete Awards and Scholarship recognizes achievement in both academics and sports over four years.",0
1090356,struthers city school district state number,2,Struthers High School Hall of Fame Weekend. 1  Vince Casey - Class of 1974 - Baseball. 2  Kathy Prest - Class of 1977 - Basketball. 3  John Mikulas - Class of 1992 - Football & Baseball. 4  Tina Palumbo - Class of 2001 - Softball. 5  Jacquie Trevis - Class of 2003 - Track & Field. 6  2004 Men’s 4x100 Relay Team: Ty Campana - Class of 2005.,0
1090356,struthers city school district state number,3,"Congratulations to Struthers High School’s newspaper, The Student Prints, for winning Best Newspaper at Youngstown State University's Annual Press Day on May 15th! Approximately 35 SHS students, along with teacher Stephanie Muntean, attended Press Day.",0
1090356,struthers city school district state number,4,"Discover all the facts about Struthers High School and its 567 students, including 8 ratings & reviews; view test scores and nearby houses.",0
1090356,struthers city school district state number,5,"Struthers City School District's student population of 1,923 students has stayed relatively flat over five years. The revenue/student of $10,998 in this district is less than the state average of $12,824. The district revenue/student has grown by 16% over four years.",0
1090356,struthers city school district state number,6,"Struthers High School in Youngstown, Ohio was selected as a School of Promise in reading and mathematics for the 2004-2005 academic year. Table 1 summarizes the characteristics for Struthers High School and the Struthers City School District. Table 1. School and district characteristics Struthers High School 2004-2005 Struthers City School",0
1090356,struthers city school district state number,7,"Struthers City School District is located in east Ohio. Struthers City School District has 5.19 square miles of land area and 0.19 square miles of water area. As of 2010-2014, the total Struthers City School District population is 11,533. Struthers City School District median household income is $37,460 in 2010-2014. Struthers City School District median house value is $72,900 in 2010-2014. On average, Struthers City School District is close to the state average in quality.",0
1090356,struthers city school district state number,8,"Struthers City School District is an elementary and secondary school located in Struthers, Ohio. View phone number, website, employees, products, revenue, and more.",0
1090356,struthers city school district state number,9,"Struthers, OH Struthers City School District. About Search Results. YP - The Real Yellow PagesSM - helps you find the right local businesses to meet your specific needs. Search results are sorted by a combination of factors to give you a set of choices in response to your search criteria.",0
168868,does medical marijuana help with ptsd,0,new research from ontario canada has uncovered some interesting finds about how cannabis helps those suffering from post traumatic stress disorder these recent advancements help explain why so many veterans in the usa have abandoned their psychiatric medications and switched to cannabis,0
168868,does medical marijuana help with ptsd,1,medical marijuana research ptsd beginning january 1 2014 the oregon medical marijuana program ommp will add ptsd to the other nine qualifying medical conditions the oregon health authority oha states may allow a person to obtain a medical marijuana card but the questions arises does cannabis really help patients who suffer ptsd here s some evidence people suffering from ptsd might find interesting there are currently medical studies underway designed to study the relationship between cannabis use and the relief of symptoms of ptsd,0
168868,does medical marijuana help with ptsd,2,political momentum for linking ptsd and medical marijuana is growing of the 23 states that now allow for medical marijuana nine include ptsd as a qualifying condition for the drug and in three others doctors have broad discretion to recommend medical cannabis for ptsd or other ailments,0
168868,does medical marijuana help with ptsd,3,part of the problem is that ptsd is unique among medical marijuana conditions since it is a psychiatric disorder not a physical ailment one of the issues with ptsd with medical marijuana is it is the first mental condition to be considered says john evans founder of the organization vets 4 freedoms,0
168868,does medical marijuana help with ptsd,4,while cannabis based drugs for the treatment of ptsd will need to wait more time for clinical trials in order to obtain fda approval even without the fda the mounting evidence that simple cannabis is enough for treatment will hopefully convince doctors and psychiatrists to quietly recommend cannabis for ptsd,0
168868,does medical marijuana help with ptsd,5,sue sisley is working to get the first fda approved study on marijuana and ptsd off the ground sue sisley to sisley it was clear her veterans were using marijuana medicinally but for a long time marijuana use among soldiers was seen as an example of america s finest falling prey to a dangerous vice,0
168868,does medical marijuana help with ptsd,6,sisley aims to help answer the question with the study she launched the first and only fda approved trial on ptsd and medical marijuana which she has spent years fighting to get off the ground sisley says she gets phone calls all the time now i have ptsd but the meds i m on make me feel awful,0
