query_id,query,passage_id,passage,is_selected
1102432,কৰ্পোৰেচন কি?,0,"এটা কোম্পানী একটা নির্দিষ্ট দেশত অন্তৰ্ভুক্ত কৰা হয়, প্ৰায়েই সেই দেশৰ একটা সৰু উপসমষ্টিৰ সীমাৰ ভিতৰত, যেনে এখন ৰাজ্য বা প্ৰদেশ। তাৰপিছত সেই কোম্পানীটো সেই ৰাজ্যৰ অন্তৰ্ভুক্তিৰ আইনৰ দ্বাৰা পৰিচালিত হয়। এটা কোম্পানীয়ে হয় ব্যক্তিগত বা সৰকাৰী ভাবে ষ্টক জাৰি কৰিব পাৰে, বা এটাক অ-ষ্টক কোম্পানী হিচাপে শ্ৰেণীবদ্ধ কৰিব পাৰে। যদি ষ্টক জাৰি কৰা হয়, তেন্তে কোম্পানীটো সাধাৰণতে ইয়াৰ শ্বেয়াৰহোল্ডাৰসকলৰ দ্বাৰা পৰোক্ষভাৱে বা প্রত্যক্ষভাৱে পৰিচালিত হয়।",0
1102432,কৰ্পোৰেচন কি?,1,"আজি, ৫০খন দেশৰ ২,১০০ৰো অধিক প্ৰত্যয়িত বি কৰ্পছ আৰু ১৩০টাতকৈও অধিক উদ্যোগৰ এক বৰ্ধিত সম্প্ৰদায় আছে যি ১টা একীকৰণমূলক লক্ষ্যৰ দিশে একেলগে কাম কৰি আছে: ব্যৱসায়ত সফলতাক পুনৰ সংজ্ঞায়িত কৰা। আন্দোলনত যোগদান কৰক",0
1102432,কৰ্পোৰেচন কি?,2,"নিগমৰ সংজ্ঞা, ব্যক্তিসকলৰ এক সংঘ, আইনৰ দ্বাৰা সৃষ্টি কৰা হয় বা আইনৰ অধীনত, ইয়াৰ সদস্যসকলৰ অস্তিত্বৰ পৰা স্বাধীন এক অবিচ্ছিন্ন অস্তিত্ব থাকে আৰু ইয়াৰ সদস্যসকলৰ পৰা পৃথক ক্ষমতা আৰু দায়বদ্ধতা থাকে। অধিক জানক।",0
1102432,কৰ্পোৰেচন কি?,3,এক বাক্যত কৰ্পোৰেশ্যনৰ উদাহৰণ। ১ তেওঁ কেইবাটাও বৃহৎ কৰ্পোৰেশ্যনৰ পৰামৰ্শদাতা হিচাপে কাম কৰে। ২ এটা উল্লেখযোগ্য কৰ্পোৰেশ্যন যিয়ে দেখুৱাইছিল যে তেওঁ সকলো খাব পৰা বুফেটৰ প্রতি আকৰ্ষিত আছিল।,0
1102432,কৰ্পোৰেচন কি?,4,"১: একটা চৰকাৰী মালিকানাধীন নিগম (একটা ইউটিলিটি বা ৰেলপথ হিচাপে) যি একটা লাভজনক উদ্যোগত নিয়োজিত হৈ থাকে যাৰ বাবে চৰকাৰী ক্ষমতা (একটা বিশিষ্ট ডোমেইন হিচাপে) প্ৰয়োগ কৰাৰ প্ৰয়োজন হয় — যাক চৰকাৰী নিগম, পাব্লিকভাবে অধিকৃত নিগম বুলিও কোৱা হয়।",0
1102432,কৰ্পোৰেচন কি?,5,মেকডোনাল্ড'ছ কৰ্পোৰেশ্যন হৈছে বিশ্বৰ আটাইতকৈ চিনাকি কৰ্পোৰেশ্যনসমূহৰ ভিতৰত অন্যতম। এটা কৰ্পোৰেশ্যন হৈছে এটা কোম্পানী বা মানুহৰ গোট যাক আইনত একক সত্তা (আইনগতভাৱে এজন ব্যক্তি) হিচাপে কাম কৰিবলৈ অনুমোদিত আৰু স্বীকৃত। প্ৰাৰম্ভিক অন্তৰ্ভুক্ত সত্তাসমূহ চাৰ্টাৰৰ দ্বাৰা প্ৰতিষ্ঠা কৰা হৈছিল (অৰ্থাৎ এজন ৰজাৰ দ্বাৰা প্ৰদত্ত বা সংসদ বা বিধানমণ্ডলৰ দ্বাৰা গৃহীত এক অস্থায়ী আইন)।,1
1102432,কৰ্পোৰেচন কি?,6,"নিগমসমূহ তেওঁলোকৰ শ্বেয়াৰহোল্ডাৰসকলৰ মালিকানাধীন (শ্বেয়াৰহোল্ডাৰ) যিসকলে প্ৰতিষ্ঠানটোৰ কাৰ্যকলাপৰ জৰিয়তে উৎপন্ন হোৱা লাভ আৰু লোকচানত অংশীদাৰী কৰে আৰু তেওঁলোকৰ তিনিটা স্বতন্ত্ৰ বৈশিষ্ট্য (১) আইনী অস্তিত্ব থাকে: এটা প্ৰতিষ্ঠানে (এজন ব্যক্তিৰ দৰে) ক্ৰয় কৰিব পাৰে, বিক্ৰী কৰিব পাৰে, মালিকানা লাভ কৰিব পাৰে, চুক্তিত প্ৰৱেশ কৰিব পাৰে আৰু অন্য ব্যক্তি আৰু প্ৰতিষ্ঠানসমূহৰ বিৰুদ্ধে গোচৰ তৰিব পাৰে আৰু তেওঁলোকৰ দ্বাৰা গোচৰ তৰিব পাৰে।",0
1102432,কৰ্পোৰেচন কি?,7,"একটা এছ'চিয়েশ্যন হৈছে একটা সংগঠিত গোষ্ঠী যিয়ে একটা সাধাৰণ আগ্ৰহ, কাৰ্যকলাপ বা উদ্দেশ্য ভাগ কৰে। ১ ব্যৱসায় আৰম্ভ কৰক আৰু ব্যৱসায় পৰিকল্পনা কৰক। ব্যৱসায়ৰ গঠন সৃষ্টি কৰক। ২ আপোনাৰ ব্যৱসায় সলনি বা আপডেট কৰক আৰু বিদ্যমান ব্যৱসায়ত একটা নতুন অৱস্থান যোগ কৰক। আপোনাৰ বিদ্যমান ব্যৱসায়ত একটা সমৰ্থন যোগ কৰক।",0
1102432,কৰ্পোৰেচন কি?,8,বি কৰ্পৰ প্ৰমাণপত্ৰই বিশ্বব্যাপী আন্দোলনৰ নেতৃত্ব দিয়া কোম্পানীসমূহৰ ওপৰত পোহৰ পেলাইছে...,0
1102432,কৰ্পোৰেচন কি?,9,আয়কৰৰ ক্ষেত্ৰত এলএলচি-সমূহে অধিক নমনীয়তা প্ৰদান কৰে। ১ এলএলচি-ৰ মালিক বা সদস্যক তিনিটা পদ্ধতিত কৰ দিব পাৰে: ২ একক মালিকৰ এলএলচিক কৰৰ উদ্দেশ্যে একক অনুসূচী (একক মালিক) হিচাপে বিবেচনা কৰা হয়।,0
